from,to,cost
001,001,0
001,002,3506.680997597134
001,003,1389.9983641937179
001,004,2383.1307335674214
001,005,3684.9557917692123
001,007,3827.5907316343437
001,008,3620.857848455166
001,009,834.6090557167907
001,011,2174.950166324776
001,013,3309.034843340548
001,015,1106.8680797489849
001,016,3504.1471082711673
001,018,3202.622622552268
001,021,1348.4356224263456
001,022,3281.781849586809
001,024,3640.352039973167
001,025,2041.6042903217249
001,027,2516.7123040353417
001,029,4359.830109526981
001,030,3384.463754067784
001,031,4025.458488227658
001,032,3935.4688782552703
001,033,1173.8194170707145
001,034,255.01264745495075
001,037,1965.8020400259861
001,041,1850.2382467448808
001,042,2433.10836169858
001,046,4163.987678485958
001,048,246.12676727696555
001,049,3881.6848051988904
001,052,4437.865862688099
001,054,3486.327132483716
001,055,3557.681099591315
001,057,2779.239403274276
001,058,1625.5808277307485
001,062,3919.794617400877
001,063,1889.9459037439676
001,064,2473.230413410327
001,066,430.43598703904314
001,067,3473.897070096583
001,069,271.25316223908567
001,070,2373.3304658699585
001,071,609.7942332756469
001,075,3106.287620531921
001,081,1052.3433770481945
001,083,3437.1219473323717
001,085,2370.466419506304
001,086,4223.394521098279
001,087,119.43649522018397
001,088,3074.7457311637454
001,091,1515.5486342056263
001,092,3003.9614311896084
001,093,2952.7274064959392
001,095,3559.3221602259637
001,096,3207.6618918901063
001,097,3029.593699321029
001,098,3955.837117670116
001,103,3205.5042601995865
001,105,3429.328033284911
001,109,1430.5577802796838
001,110,2682.178309895269
001,111,3603.4836814019836
001,112,2892.0308508044945
001,114,3659.3534355302677
001,115,2036.4458135577902
001,116,1240.553111173999
001,117,3677.3579030796186
001,118,1025.7111465079336
001,119,2074.905701435718
001,120,2017.6135910525434
001,121,3181.600176958487
001,122,2378.2262000970118
001,123,2796.4218775564423
001,124,2183.128488670966
001,129,2507.2509692556155
001,131,3026.2142114530197
001,133,1743.9645350760961
001,134,3171.888653602326
001,135,2716.017206750619
001,136,3047.028269189171
001,137,692.8475202140163
001,138,4147.571016027404
001,140,422.1256501240367
001,142,3273.4783517781902
001,145,3044.0955065748963
001,146,3633.981080827736
001,148,1188.3647076110335
001,150,3609.7712889815507
001,151,2669.016410441799
001,152,1926.5188302305808
001,153,2486.273586018167
001,154,1680.2322512110575
001,155,1842.6667276136648
001,157,977.5560505304311
001,160,2925.970476074305
001,161,3838.6770005381277
001,162,3117.018481139438
001,163,2845.2399589038814
001,164,4474.421128835312
001,166,3982.516038922638
001,168,3686.6463909347785
001,170,3957.658938304425
001,174,3589.5069013898315
001,177,1195.5318827778751
001,178,2609.9309788030814
001,179,1998.485254226222
001,181,2667.7533293653737
001,183,3161.8256878711627
001,184,3430.7053890610186
001,185,3685.2794039167165
001,187,1988.5345885162355
001,192,1618.1699898970696
001,193,1789.161112665794
001,197,2429.4836789169285
001,199,2272.463568819429
001,202,2042.753739799277
001,204,783.8742151463255
001,207,1688.2668299668965
001,209,4103.13458567669
001,213,3394.948878743216
001,220,1564.2490255231871
001,222,3581.0911251692396
001,225,696.6629301359869
001,227,1936.6806703578602
001,231,1495.9653221505469
001,240,3493.6281352426454
001,246,1158.2056876267595
001,249,1299.3617008523906
001,263,2414.7836987328023
001,264,3510.7632598946957
001,268,3028.2598754099554
001,271,960.9222420628093
001,274,3361.2327714550165
001,278,1220.6788548709671
001,279,2387.3722313520907
001,282,769.3796686024024
001,286,2958.6781804900156
001,287,1956.9731211961066
001,288,1981.424877013836
001,289,1836.2111946762132
001,293,4038.923142975637
001,294,1242.9448636775999
001,298,3075.8036757536292
001,299,3013.596959427324
001,300,861.542071049047
001,301,2309.8062605438513
001,304,987.0537575909627
001,305,2297.4692275751668
001,306,1665.8559405016017
001,307,2757.776134787756
001,308,1792.2514352738401
001,309,1234.6235924136504
001,310,2870.455014388572
