from,to,cost
0,1,3506.680997597134
0,2,1389.998364193718
0,3,2383.130733567421
0,4,3684.955791769212
0,6,3827.590731634344
0,7,3620.857848455166
0,8,834.6090557167907
0,10,2174.950166324776
0,12,3309.034843340548
0,14,1106.8680797489849
0,15,3504.147108271168
0,17,3202.622622552268
0,20,1348.4356224263456
0,21,3281.781849586809
0,23,3640.352039973167
0,24,2041.6042903217249
0,26,2516.7123040353417
0,28,4359.830109526981
0,29,3384.463754067784
0,30,4025.458488227658
0,31,3935.4688782552703
0,32,1173.8194170707145
0,33,255.01264745495075
0,36,1965.802040025986
0,40,1850.2382467448808
0,41,2433.10836169858
0,45,4163.987678485958
0,47,246.12676727696555
0,48,3881.6848051988895
0,51,4437.865862688099
0,53,3486.327132483716
0,54,3557.681099591315
0,56,2779.239403274276
0,57,1625.5808277307483
0,61,3919.794617400877
0,62,1889.945903743968
0,63,2473.230413410327
0,65,430.4359870390432
0,66,3473.897070096583
0,68,271.25316223908567
0,69,2373.3304658699585
0,70,609.7942332756469
0,74,3106.287620531921
0,80,1052.3433770481945
0,82,3437.121947332372
0,84,2370.466419506304
0,85,4223.394521098279
0,86,119.43649522018396
0,87,3074.7457311637454
0,90,1515.5486342056265
0,91,3003.9614311896084
0,92,2952.7274064959392
0,94,3559.322160225964
0,95,3207.6618918901063
0,96,3029.593699321029
0,97,3955.837117670116
0,102,3205.5042601995865
0,104,3429.328033284911
0,108,1430.5577802796838
0,109,2682.178309895269
0,110,3603.483681401984
0,111,2892.0308508044945
0,113,3659.353435530268
0,114,2036.4458135577904
0,115,1240.553111173999
0,116,3677.3579030796186
0,117,1025.7111465079336
0,118,2074.905701435718
0,119,2017.6135910525436
0,120,3181.600176958487
0,121,2378.226200097012
0,122,2796.4218775564423
0,123,2183.128488670966
0,128,2507.2509692556155
0,130,3026.21421145302
0,132,1743.964535076096
0,133,3171.888653602326
0,134,2716.017206750619
0,135,3047.028269189171
0,136,692.8475202140163
0,137,4147.571016027404
